		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.100 	 23.544 	 0.5982 	 0.1462 
      barbara 	  0.100 	 26.563 	 0.7757 	 0.2186 
       bridge 	  0.100 	 25.326 	 0.7148 	 0.1398 
   coastguard 	  0.100 	 28.655 	 0.7452 	 0.0570 
        comic 	  0.100 	 24.315 	 0.7728 	 0.0466 
         face 	  0.100 	 33.506 	 0.8264 	 0.0383 
      flowers 	  0.100 	 29.169 	 0.8488 	 0.0907 
      foreman 	  0.100 	 32.441 	 0.9309 	 0.0530 
        lenna 	  0.100 	 33.237 	 0.8797 	 0.1290 
          man 	  0.100 	 28.489 	 0.8002 	 0.1300 
      monarch 	  0.100 	 33.206 	 0.9499 	 0.2148 
       pepper 	  0.100 	 33.909 	 0.8896 	 0.1308 
         ppt3 	  0.100 	 27.478 	 0.9461 	 0.1756 
        zebra 	  0.100 	 29.190 	 0.8458 	 0.1170 
		Avg       0.100 	 29.216 	 0.8232 	 0.1205 
