		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.200 	 25.355 	 0.7413 	 0.1241 
      barbara 	  0.200 	 28.237 	 0.8466 	 0.2162 
       bridge 	  0.200 	 27.380 	 0.8316 	 0.1434 
   coastguard 	  0.200 	 32.095 	 0.8863 	 0.0582 
        comic 	  0.200 	 27.715 	 0.8968 	 0.0455 
         face 	  0.200 	 35.266 	 0.8788 	 0.0380 
      flowers 	  0.200 	 32.774 	 0.9259 	 0.0909 
      foreman 	  0.200 	 35.981 	 0.9639 	 0.0532 
        lenna 	  0.200 	 35.975 	 0.9199 	 0.1292 
          man 	  0.200 	 30.689 	 0.8752 	 0.1283 
      monarch 	  0.200 	 37.127 	 0.9733 	 0.2066 
       pepper 	  0.200 	 36.462 	 0.9155 	 0.1298 
         ppt3 	  0.200 	 32.930 	 0.9830 	 0.1709 
        zebra 	  0.200 	 33.132 	 0.9307 	 0.1192 
		Avg       0.200 	 32.223 	 0.8978 	 0.1181 
