		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.300 	 26.323 	 0.7992 	 0.1174 
      barbara 	  0.300 	 29.629 	 0.8871 	 0.2057 
       bridge 	  0.300 	 28.468 	 0.8749 	 0.1316 
   coastguard 	  0.300 	 34.267 	 0.9337 	 0.0530 
        comic 	  0.300 	 28.245 	 0.9055 	 0.0422 
         face 	  0.300 	 36.121 	 0.9020 	 0.0364 
      flowers 	  0.300 	 32.677 	 0.9333 	 0.0876 
      foreman 	  0.300 	 35.599 	 0.9624 	 0.0521 
        lenna 	  0.300 	 36.839 	 0.9342 	 0.1274 
          man 	  0.300 	 31.062 	 0.8932 	 0.1285 
      monarch 	  0.300 	 35.525 	 0.9694 	 0.1967 
       pepper 	  0.300 	 36.349 	 0.9222 	 0.1273 
         ppt3 	  0.300 	 31.298 	 0.9579 	 0.1627 
        zebra 	  0.300 	 34.416 	 0.9585 	 0.1085 
		Avg       0.300 	 32.630 	 0.9167 	 0.1127 
