		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.200 	 24.890 	 0.7187 	 0.1176 
      barbara 	  0.200 	 27.910 	 0.8336 	 0.2076 
       bridge 	  0.200 	 26.817 	 0.8102 	 0.1323 
   coastguard 	  0.200 	 30.741 	 0.8518 	 0.0533 
        comic 	  0.200 	 26.079 	 0.8447 	 0.0418 
         face 	  0.200 	 34.753 	 0.8690 	 0.0350 
      flowers 	  0.200 	 30.365 	 0.8921 	 0.0952 
      foreman 	  0.200 	 33.423 	 0.9398 	 0.0515 
        lenna 	  0.200 	 34.783 	 0.9091 	 0.1292 
          man 	  0.200 	 29.408 	 0.8469 	 0.1281 
      monarch 	  0.200 	 32.971 	 0.9512 	 0.1969 
       pepper 	  0.200 	 34.367 	 0.9002 	 0.1290 
         ppt3 	  0.200 	 28.186 	 0.9228 	 0.1662 
        zebra 	  0.200 	 31.252 	 0.9162 	 0.1119 
		Avg       0.200 	 30.425 	 0.8719 	 0.1140 
