		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.100 	 23.241 	 0.5767 	 0.1355 
      barbara 	  0.100 	 26.299 	 0.7566 	 0.2071 
       bridge 	  0.100 	 24.769 	 0.6843 	 0.1313 
   coastguard 	  0.100 	 27.391 	 0.6858 	 0.0521 
        comic 	  0.100 	 23.341 	 0.7082 	 0.0427 
         face 	  0.100 	 32.805 	 0.8100 	 0.0350 
      flowers 	  0.100 	 27.323 	 0.7985 	 0.0850 
      foreman 	  0.100 	 30.196 	 0.8852 	 0.0513 
        lenna 	  0.100 	 31.838 	 0.8588 	 0.1301 
          man 	  0.100 	 27.311 	 0.7605 	 0.1288 
      monarch 	  0.100 	 29.695 	 0.9132 	 0.1980 
       pepper 	  0.100 	 31.651 	 0.8611 	 0.1289 
         ppt3 	  0.100 	 24.744 	 0.8592 	 0.1648 
        zebra 	  0.100 	 27.107 	 0.8112 	 0.1097 
		Avg       0.100 	 27.694 	 0.7835 	 0.1143 
