		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.200 	 25.651 	 0.7586 	 0.2842 
      barbara 	  0.200 	 28.566 	 0.8577 	 0.4632 
       bridge 	  0.200 	 27.589 	 0.8393 	 0.3187 
   coastguard 	  0.200 	 32.378 	 0.8963 	 0.1345 
        comic 	  0.200 	 27.882 	 0.9075 	 0.1191 
         face 	  0.200 	 35.474 	 0.8823 	 0.0977 
      flowers 	  0.200 	 33.360 	 0.9335 	 0.2159 
      foreman 	  0.200 	 36.907 	 0.9674 	 0.1371 
        lenna 	  0.200 	 36.426 	 0.9228 	 0.2846 
          man 	  0.200 	 30.943 	 0.8815 	 0.3041 
      monarch 	  0.200 	 38.304 	 0.9762 	 0.5362 
       pepper 	  0.200 	 36.920 	 0.9172 	 0.3135 
         ppt3 	  0.200 	 34.184 	 0.9877 	 0.4846 
        zebra 	  0.200 	 33.778 	 0.9355 	 0.3346 
		Avg       0.200 	 32.740 	 0.9045 	 0.2877 
