		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.100 	 23.857 	 0.6203 	 0.3138 
      barbara 	  0.100 	 26.620 	 0.7811 	 0.4699 
       bridge 	  0.100 	 25.559 	 0.7275 	 0.3066 
   coastguard 	  0.100 	 29.071 	 0.7712 	 0.1328 
        comic 	  0.100 	 24.761 	 0.7964 	 0.1197 
         face 	  0.100 	 33.812 	 0.8345 	 0.0968 
      flowers 	  0.100 	 29.866 	 0.8653 	 0.2331 
      foreman 	  0.100 	 33.869 	 0.9421 	 0.1395 
        lenna 	  0.100 	 33.923 	 0.8893 	 0.2877 
          man 	  0.100 	 28.856 	 0.8123 	 0.3017 
      monarch 	  0.100 	 34.703 	 0.9583 	 0.5529 
       pepper 	  0.100 	 34.984 	 0.8949 	 0.3213 
         ppt3 	  0.100 	 29.637 	 0.9693 	 0.4638 
        zebra 	  0.100 	 30.148 	 0.8610 	 0.3256 
		Avg       0.100 	 29.976 	 0.8374 	 0.2904 
