		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.300 	 27.154 	 0.8297 	 0.2929 
      barbara 	  0.300 	 30.581 	 0.9095 	 0.4655 
       bridge 	  0.300 	 29.301 	 0.8955 	 0.3186 
   coastguard 	  0.300 	 35.693 	 0.9515 	 0.1295 
        comic 	  0.300 	 30.660 	 0.9496 	 0.1235 
         face 	  0.300 	 36.618 	 0.9102 	 0.0981 
      flowers 	  0.300 	 36.042 	 0.9605 	 0.2282 
      foreman 	  0.300 	 38.876 	 0.9793 	 0.1356 
        lenna 	  0.300 	 38.117 	 0.9415 	 0.3013 
          man 	  0.300 	 32.583 	 0.9173 	 0.2901 
      monarch 	  0.300 	 40.984 	 0.9841 	 0.5211 
       pepper 	  0.300 	 38.146 	 0.9321 	 0.3044 
         ppt3 	  0.300 	 37.863 	 0.9930 	 0.4773 
        zebra 	  0.300 	 36.577 	 0.9668 	 0.3327 
		Avg       0.300 	 34.943 	 0.9372 	 0.2871 
