		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.300 	 38.095 	 0.9502 
    02barbara 	  0.300 	 27.337 	 0.8767 
    03peppers 	  0.300 	 36.829 	 0.9190 
   04mandrill 	  0.300 	 26.110 	 0.8509 
   05goldhill 	  0.300 	 35.063 	 0.9266 
      06boats 	  0.300 	 35.027 	 0.9222 
  07cameraman 	  0.300 	 44.160 	 0.9927 
        08man 	  0.300 	 35.056 	 0.9472 
      09clown 	  0.300 	 38.275 	 0.9582 
     10couple 	  0.300 	 34.886 	 0.9434 
      11crowd 	  0.300 	 38.433 	 0.9806 
       12girl 	  0.300 	 41.698 	 0.9736 
       13lake 	  0.300 	 34.030 	 0.9170 
		Avg       0.300 	 35.769 	 0.9353 
