		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.100 	 23.795 	 0.6212 
      barbara 	  0.100 	 26.569 	 0.7800 
       bridge 	  0.100 	 25.500 	 0.7269 
   coastguard 	  0.100 	 28.954 	 0.7691 
        comic 	  0.100 	 24.465 	 0.7909 
         face 	  0.100 	 33.788 	 0.8347 
      flowers 	  0.100 	 29.677 	 0.8638 
      foreman 	  0.100 	 33.793 	 0.9419 
        lenna 	  0.100 	 33.724 	 0.8882 
          man 	  0.100 	 28.722 	 0.8116 
      monarch 	  0.100 	 34.653 	 0.9583 
       pepper 	  0.100 	 35.106 	 0.8954 
         ppt3 	  0.100 	 29.062 	 0.9676 
        zebra 	  0.100 	 29.878 	 0.8602 
		Avg       0.100 	 29.835 	 0.8364 
