		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.200 	 25.528 	 0.7567 
      barbara 	  0.200 	 28.603 	 0.8588 
       bridge 	  0.200 	 27.547 	 0.8389 
   coastguard 	  0.200 	 32.269 	 0.8945 
        comic 	  0.200 	 27.682 	 0.9057 
         face 	  0.200 	 35.463 	 0.8824 
      flowers 	  0.200 	 33.253 	 0.9330 
      foreman 	  0.200 	 36.905 	 0.9675 
        lenna 	  0.200 	 36.401 	 0.9229 
          man 	  0.200 	 30.875 	 0.8812 
      monarch 	  0.200 	 38.275 	 0.9762 
       pepper 	  0.200 	 36.900 	 0.9176 
         ppt3 	  0.200 	 34.133 	 0.9879 
        zebra 	  0.200 	 33.773 	 0.9358 
		Avg       0.200 	 32.686 	 0.9042 
