		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.100 	 32.870 	 0.8943 
    02barbara 	  0.100 	 24.341 	 0.7263 
    03peppers 	  0.100 	 33.722 	 0.8758 
   04mandrill 	  0.100 	 22.590 	 0.6235 
   05goldhill 	  0.100 	 30.824 	 0.8290 
      06boats 	  0.100 	 29.783 	 0.8413 
  07cameraman 	  0.100 	 33.432 	 0.9452 
        08man 	  0.100 	 30.296 	 0.8532 
      09clown 	  0.100 	 32.737 	 0.9053 
     10couple 	  0.100 	 29.478 	 0.8482 
      11crowd 	  0.100 	 31.376 	 0.9178 
       12girl 	  0.100 	 35.092 	 0.9119 
       13lake 	  0.100 	 29.403 	 0.8402 
		Avg       0.100 	 30.457 	 0.8471 
